"","SRR6898209","SRR6898210","SRR8094748","SRR8094749","SRR8094750","SRR8094751","SRR6898193","SRR6898194","SRR6898195","SRR6898211"
"ARRDC4",450,685,514,329,350,498,226,634,729,1715
"RP11-753A21.1",0,0,0,2,0,0,2,0,6,8
"AC144835.1",0,0,0,0,0,0,0,0,0,0
"CTD-2544M6.1",0,0,0,0,0,0,0,0,0,0
"CTD-2544M6.2",0,0,0,0,0,0,0,0,0,0
"RP11-183E24.2",0,0,0,0,0,0,0,0,0,0
"RP11-167B3.1",0,0,0,0,0,0,0,0,0,0
"FAM169B",0,0,4,0,2,0,26,4,11,7
"RP11-35O15.1",0,0,0,0,1,0,0,0,0,0
"IGF1R",1072,228,120,86,102,5,72,272,18,76
"RP11-654A16.1",0,0,0,0,0,0,0,0,0,0
"RP11-654A16.3",0,2,0,0,0,0,0,0,0,0
"PGPEP1L",0,0,0,0,0,0,0,0,0,1
"SYNM",100,157,173,94,79,41,61,206,93,146
"RP11-6O2.4",0,0,2,0,0,2,0,2,0,0
"TTC23",550,756,164,175,339,234,141,298,167,205
"RP11-6O2.3",4,13,4,6,8,3,3,7,4,9
"LRRC28",636,882,375,677,501,724,286,870,535,799
"AC022819.2",0,0,0,0,0,0,0,0,0,0
"RP11-20G13.3",1,1,0,0,0,0,0,1,1,0
"RP11-20G13.2",2,2,0,0,0,0,0,0,0,0
"RP11-20G13.1",0,0,0,0,0,0,0,0,0,0
"MEF2A",903,1278,436,368,435,497,769,1073,768,903
"AC015660.1",0,0,0,0,0,0,0,0,0,0
"LYSMD4",419,893,218,80,274,141,166,150,74,83
"DKFZP779J2370",0,0,0,0,0,0,0,0,0,0
"CTD-2054N24.2",56,164,0,7,15,0,0,4,0,0
"CTD-3076O17.1",2,0,1,0,0,0,0,0,4,0
"ADAMTS17",2,10,96,144,384,164,560,272,229,110
"CTD-3076O17.2",4,2,0,0,0,0,2,2,6,0
"RP11-90E5.1",0,0,0,0,0,0,0,0,0,0
"SPATA41",2,0,98,72,153,67,86,88,145,244
"RP11-168G16.2",0,0,0,0,3,0,0,0,0,0
"CERS3",0,0,2,0,0,0,0,0,0,0
"RP11-526I2.5",45,48,62,4,46,12,41,37,22,10
"RP11-526I2.1",4,10,6,0,0,0,2,4,0,0
"LINS",279,254,146,98,84,92,104,181,106,156
"ASB7",535,556,147,131,210,206,181,259,159,200
"RP11-66B24.5",0,0,0,0,0,0,0,0,0,0
"RP11-66B24.2",0,2,2,0,2,0,0,0,0,0
"RP11-66B24.7",0,0,2,2,0,0,0,0,0,2
"RP11-66B24.1",0,0,0,0,0,0,0,0,0,0
"RP11-66B24.8",0,0,0,0,0,0,0,0,0,0
"ALDH1A3",253,8,114,43,53,0,2,5,0,2
"RP11-66B24.4",14,3,6,10,2,0,1,7,0,0
"LRRK1",115,3,168,122,183,15,118,107,7,14
"RP11-505E24.3",0,0,4,5,7,3,1,2,0,0
"RP11-505E24.2",0,0,1,0,0,0,0,0,0,0
"RP11-424I19.1",0,0,0,0,0,0,1,0,0,0
"RP11-424I19.2",0,0,0,0,0,0,0,3,0,0
"CHSY1",831,629,536,206,144,128,271,404,148,142
"VIMP",1567,1232,1463,722,1091,1053,1478,770,751,1160
"SNRPA1",847,1602,458,374,433,339,416,431,300,374
"RP11-299G20.2",38,58,32,20,37,21,49,42,67,36
"PCSK6",2666,3282,2397,1703,2520,3748,8101,5376,5477,4708
"RP11-299G20.3",2,0,4,2,2,0,5,2,0,0
"TM2D3",635,833,759,708,576,710,793,824,769,887
"TARSL2",481,565,100,70,114,136,185,178,140,220
"RP11-89K11.1",45,89,7,16,4,0,0,10,0,0
"OR4F6",4,1,0,0,0,0,0,0,0,0
"OR4F15",0,0,0,0,0,0,0,0,0,0
"OR4F4",4,0,0,0,0,0,0,0,0,0
"FAM138E",0,0,0,0,0,0,0,0,0,0
"MIR1302-11",4,0,0,0,0,4,1,0,0,1
"WASH4P",624,774,1040,736,1096,316,456,598,734,324
"WASIR2",1,8,0,2,1,0,0,0,1,0
"POLR3K",219,295,102,157,196,126,130,105,100,63
"SNRNP25",449,390,565,678,608,552,489,408,512,456
"RHBDF1",480,492,432,229,220,125,91,106,101,25
"MPG",545,634,709,972,1416,994,370,475,379,375
"NPRL3",711,746,822,523,995,251,535,500,536,273
"Z69720.2",2,0,0,0,0,0,0,0,0,0
"Z69666.2",1,14,1,0,2,4,1,4,7,0
"HBZ",0,0,0,0,0,0,0,0,0,0
"HBM",2,0,2,14,14,0,9,0,0,0
"HBA2",2,0,7271,2714,8226,10,608,204,0,8
"HBA1",2,0,1521,701,1798,12,295,79,0,6
"HBQ1",4,56,4,4,12,0,0,4,0,0
"LA16c-OS12.2",2,0,0,0,4,0,0,0,0,0
"LUC7L",1512,2483,991,693,973,369,669,686,608,456
"ITFG3",947,1289,1295,908,1630,353,946,864,783,428
"RGS11",7,4,131,31,83,0,1,6,0,0
"ARHGDIG",2,4,4,0,8,0,0,2,0,2
"PDIA2",0,4,4,2,4,0,2,0,2,0
"AXIN1",720,1066,547,532,717,402,437,385,478,286
"MRPL28",1164,1610,1416,1677,1984,988,987,997,956,780
"TMEM8A",2393,2869,3353,3695,5400,1825,2556,1534,1657,997
"NME4",4255,5736,4549,3756,4729,1899,1685,1244,1887,1521
"DECR2",1001,1099,2633,4058,3009,1270,2847,1787,2380,990
